roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
2,0.003,,0.003,0.002,30,-32.68,440,43.2,0.0104,6732.0,150,214,76
1,0.0015,2.0,0.005,0.003,20,-32.74,326,40.2,-0.0212,6726.0,59,139,128
5,0.0015,3.0,0.005,0.003,30,-32.83,350,40.3,-0.0132,6717.0,66,130,154
3,0.002,2.0,0.005,0.003,10,-33.05,367,44.1,-0.009,6695.0,39,87,241
5,0.0015,3.0,0.005,0.002,10,-33.46,385,42.3,-0.0056,6654.0,25,136,224
5,0.0015,3.0,0.005,0.003,20,-33.73,359,42.3,-0.0142,6627.0,50,115,194
5,0.002,2.0,0.005,0.002,20,-33.81,454,39.6,0.0095,6619.0,69,208,177
2,0.003,,0.003,0.002,10,-33.83,444,45.7,0.0072,6617.0,117,179,148
5,0.002,2.0,0.005,0.002,30,-33.88,443,37.2,0.007,6612.0,78,231,134
2,0.003,,0.003,0.002,20,-33.97,442,42.3,0.0064,6603.0,136,201,105
3,0.002,2.0,0.003,0.002,10,-34.09,382,43.7,-0.0089,6591.0,82,151,149
1,0.0015,2.0,0.003,0.003,30,-34.14,332,45.5,-0.0254,6586.0,122,145,65
2,0.0015,2.0,0.005,0.002,30,-34.62,427,35.4,0.0009,6538.0,77,231,119
2,0.0015,2.0,0.005,0.002,10,-34.97,454,42.5,0.0055,6503.0,45,169,240
3,0.002,2.0,0.003,0.002,20,-35.02,377,39.8,-0.0141,6498.0,99,185,93
1,0.0015,2.0,0.003,0.003,20,-35.05,336,44.3,-0.0281,6495.0,109,133,94
1,0.002,,0.005,0.003,30,-35.09,514,45.1,0.0165,6491.0,129,223,162
5,0.0015,3.0,0.003,0.002,10,-35.11,396,44.2,-0.009,6489.0,69,137,190
5,0.002,2.0,0.005,0.003,30,-35.28,427,42.6,-0.0014,6472.0,83,166,178
3,0.002,2.0,0.003,0.002,30,-35.61,374,38.5,-0.0174,6439.0,108,198,68
5,0.0015,3.0,0.005,0.003,10,-35.69,383,43.3,-0.015,6431.0,25,73,285
3,0.002,2.0,0.003,0.003,10,-35.88,378,46.6,-0.0173,6412.0,85,90,203
5,0.0015,3.0,0.003,0.002,30,-35.95,379,38.0,-0.0173,6405.0,103,194,82
5,0.0015,3.0,0.003,0.002,20,-36.03,384,39.8,-0.0161,6397.0,88,175,121
3,0.003,,0.005,0.003,30,-36.03,503,43.3,0.0118,6397.0,127,216,160
1,0.002,,0.005,0.002,30,-36.34,540,37.0,0.0168,6366.0,118,300,122
5,0.002,2.0,0.005,0.003,20,-36.47,441,44.0,-0.0024,6353.0,70,146,225
2,0.0015,2.0,0.005,0.003,20,-36.55,426,42.0,-0.0063,6345.0,74,157,195
1,0.002,,0.003,0.003,30,-37.12,545,52.8,0.0153,6288.0,221,200,124
3,0.002,2.0,0.003,0.003,20,-37.43,369,44.2,-0.0267,6257.0,107,133,129
5,0.002,2.0,0.005,0.002,10,-37.52,469,42.2,-0.0,6248.0,41,171,257
3,0.002,2.0,0.003,0.003,30,-37.54,363,44.6,-0.0293,6246.0,120,147,96
5,0.0015,3.0,0.003,0.003,10,-37.57,394,45.2,-0.0194,6243.0,71,74,249
5,0.0015,3.0,0.003,0.003,30,-37.7,372,44.4,-0.0269,6230.0,110,135,127
2,0.0015,2.0,0.003,0.002,10,-37.82,465,44.9,-0.002,6218.0,95,168,202
2,0.0015,2.0,0.005,0.003,10,-37.96,449,44.8,-0.006,6204.0,46,109,294
2,0.0015,2.0,0.005,0.003,30,-38.1,416,40.6,-0.0148,6190.0,84,179,153
3,0.003,,0.005,0.003,20,-38.21,510,42.5,0.0061,6179.0,108,193,209
3,0.0015,2.0,0.005,0.002,20,-38.47,518,39.2,0.0066,6153.0,73,236,209
2,0.0015,2.0,0.003,0.002,20,-38.49,454,40.7,-0.0068,6151.0,126,215,113
1,0.002,,0.003,0.002,30,-38.81,572,44.4,0.0144,6119.0,201,277,94
5,0.002,2.0,0.003,0.002,30,-38.99,474,41.6,-0.004,6101.0,142,236,96
3,0.003,,0.005,0.002,30,-38.99,526,34.4,0.0065,6101.0,113,304,109
