roc_lookback_bars,min_move_pct,volume_mult,take_profit_pct,stop_loss_pct,max_hold_bars,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
3,0.002,2.0,0.003,0.003,30,-3.23,26,50.0,-0.0261,9677.0,6,8,12
1,0.0015,,0.003,0.003,10,-3.25,41,56.1,0.0197,9675.0,3,3,35
2,0.0015,3.0,0.003,0.002,20,-3.25,24,37.5,-0.0376,9675.0,3,11,10
2,0.0015,3.0,0.003,0.003,20,-3.25,24,41.7,-0.0372,9675.0,3,6,15
5,0.003,,0.005,0.002,30,-3.27,30,40.0,-0.0107,9673.0,4,11,15
5,0.002,2.0,0.005,0.003,20,-3.27,29,51.7,-0.0143,9673.0,2,7,20
2,0.0015,3.0,0.003,0.003,30,-3.28,24,45.8,-0.0388,9672.0,4,8,12
5,0.0015,3.0,0.003,0.002,20,-3.29,29,51.7,-0.015,9671.0,4,11,14
3,0.0015,3.0,0.003,0.003,20,-3.33,25,48.0,-0.0351,9667.0,3,6,16
5,0.0015,3.0,0.003,0.003,10,-3.36,29,51.7,-0.0176,9664.0,2,5,22
5,0.002,3.0,0.005,0.002,30,-3.38,20,35.0,-0.0717,9662.0,1,10,9
5,0.002,2.0,0.003,0.002,10,-3.4,31,45.2,-0.0114,9660.0,3,9,19
5,0.0015,3.0,0.005,0.003,10,-3.41,29,51.7,-0.0196,9659.0,0,5,24
2,0.0015,3.0,0.003,0.002,30,-3.41,24,37.5,-0.0444,9659.0,3,12,9
3,0.0015,3.0,0.003,0.002,30,-3.43,25,40.0,-0.0396,9657.0,3,9,13
3,0.0015,2.0,0.005,0.002,30,-3.43,34,41.2,-0.0022,9657.0,4,12,18
3,0.0015,3.0,0.005,0.002,20,-3.43,25,44.0,-0.0393,9657.0,0,9,16
3,0.0015,2.0,0.005,0.002,20,-3.45,34,47.1,-0.0031,9655.0,2,12,20
3,0.0015,3.0,0.003,0.003,30,-3.47,25,44.0,-0.041,9653.0,4,7,14
1,0.0015,,0.005,0.003,20,-3.48,39,46.2,0.0095,9652.0,1,3,35
5,0.002,2.0,0.005,0.002,10,-3.49,31,45.2,-0.0143,9651.0,0,9,22
2,0.0015,3.0,0.005,0.003,20,-3.54,24,41.7,-0.05,9646.0,0,6,18
5,0.0015,3.0,0.003,0.003,20,-3.54,29,55.2,-0.0239,9646.0,4,7,18
2,0.0015,3.0,0.005,0.002,20,-3.55,24,37.5,-0.0504,9645.0,0,11,13
5,0.0015,3.0,0.005,0.002,20,-3.55,29,51.7,-0.0245,9645.0,0,11,18
5,0.002,2.0,0.003,0.003,10,-3.57,31,45.2,-0.0172,9643.0,3,5,23
2,0.0015,2.0,0.003,0.002,10,-3.58,33,48.5,-0.0102,9642.0,2,10,21
5,0.003,,0.005,0.003,30,-3.59,29,41.4,-0.0258,9641.0,3,6,20
2,0.0015,3.0,0.005,0.003,30,-3.61,23,39.1,-0.0596,9639.0,1,8,14
2,0.0015,2.0,0.005,0.002,10,-3.61,33,48.5,-0.0112,9639.0,0,10,23
3,0.0015,3.0,0.005,0.003,20,-3.62,25,48.0,-0.0474,9638.0,0,6,19
1,0.0015,,0.005,0.002,10,-3.63,42,54.8,0.0121,9637.0,0,7,35
5,0.002,2.0,0.005,0.003,10,-3.66,31,45.2,-0.0201,9634.0,0,5,26
5,0.003,,0.003,0.002,10,-3.67,32,37.5,-0.0165,9633.0,4,9,19
5,0.003,,0.005,0.002,20,-3.68,30,33.3,-0.0247,9632.0,2,10,18
5,0.0015,3.0,0.003,0.002,30,-3.71,29,44.8,-0.0302,9629.0,4,11,14
3,0.0015,2.0,0.005,0.003,20,-3.72,34,50.0,-0.0112,9628.0,2,8,24
5,0.003,,0.005,0.003,20,-3.72,30,36.7,-0.0262,9628.0,2,4,24
1,0.0015,,0.005,0.002,30,-3.72,39,41.0,0.0032,9628.0,4,15,20
1,0.0015,,0.005,0.003,10,-3.73,41,53.7,0.0073,9627.0,0,3,38
5,0.002,2.0,0.003,0.002,30,-3.74,31,45.2,-0.0228,9626.0,6,14,11
5,0.002,2.0,0.003,0.002,20,-3.76,31,48.4,-0.0233,9624.0,4,14,13
2,0.0015,2.0,0.003,0.003,10,-3.77,33,48.5,-0.0162,9623.0,2,5,26
2,0.0015,2.0,0.003,0.002,30,-3.78,33,42.4,-0.0167,9622.0,6,14,13
2,0.0015,2.0,0.003,0.002,20,-3.78,33,45.5,-0.0167,9622.0,4,13,16
