lookback,take_profit_pct,stop_loss_pct,max_hold_bars,trend_ema_period,total_return_pct,n_trades,win_rate_pct,avg_return_per_trade_pct,final_capital,tp_hits,sl_hits,timeouts
5,0.002,0.003,45,120.0,-17.93,154,48.1,-0.0281,8207.0,45,29,80
10,0.004,0.0015,30,120.0,-17.94,170,35.3,-0.0161,8206.0,11,72,87
10,0.006,0.0015,20,120.0,-17.94,198,36.9,0.0003,8206.0,8,55,135
30,0.006,0.003,10,120.0,-17.95,185,44.3,-0.0069,8205.0,1,10,174
10,0.004,0.002,45,60.0,-17.98,163,39.9,-0.0214,8202.0,17,64,82
30,0.002,0.003,30,60.0,-17.98,160,46.2,-0.0237,8202.0,36,26,98
15,0.003,0.002,45,60.0,-17.99,159,39.0,-0.0246,8201.0,24,60,75
20,0.004,0.0015,30,60.0,-18.01,174,37.9,-0.0139,8199.0,13,68,93
30,0.003,0.003,10,120.0,-18.04,186,44.6,-0.0069,8196.0,5,10,171
20,0.006,0.002,45,,-18.05,173,36.4,-0.0148,8195.0,10,72,91
5,0.006,0.0015,45,60.0,-18.05,179,37.4,-0.011,8195.0,9,95,75
20,0.003,0.003,45,60.0,-18.06,146,40.4,-0.0362,8194.0,24,37,85
30,0.002,0.002,10,120.0,-18.11,189,43.9,-0.0057,8189.0,16,17,156
20,0.006,0.002,30,60.0,-18.11,169,39.6,-0.018,8189.0,6,55,108
30,0.003,0.003,20,60.0,-18.14,169,42.6,-0.0183,8186.0,16,20,133
15,0.002,0.003,45,120.0,-18.14,138,42.0,-0.0448,8186.0,34,32,72
5,0.004,0.002,30,120.0,-18.17,182,42.3,-0.01,8183.0,12,50,120
20,0.002,0.003,45,120.0,-18.2,133,39.1,-0.0508,8180.0,32,33,68
20,0.002,0.002,30,120.0,-18.26,155,41.3,-0.03,8174.0,29,46,80
5,0.004,0.002,45,60.0,-18.29,170,42.9,-0.0186,8171.0,18,66,86
15,0.004,0.003,45,60.0,-18.33,149,40.9,-0.0356,8167.0,17,41,91
10,0.006,0.002,20,120.0,-18.37,196,38.3,-0.0034,8163.0,8,42,146
5,0.004,0.003,45,60.0,-18.38,162,46.9,-0.025,8162.0,19,35,108
10,0.003,0.0015,30,120.0,-18.39,175,36.0,-0.016,8161.0,24,73,78
30,0.004,0.003,20,,-18.45,182,42.9,-0.0119,8155.0,10,21,151
20,0.006,0.003,20,120.0,-18.49,163,40.5,-0.0253,8151.0,4,19,140
15,0.004,0.0015,30,60.0,-18.51,185,38.9,-0.0105,8149.0,14,70,101
20,0.003,0.002,20,120.0,-18.56,169,40.8,-0.0213,8144.0,12,40,117
30,0.002,0.003,30,,-18.57,175,48.0,-0.0172,8143.0,41,27,107
5,0.003,0.0015,30,120.0,-18.57,193,40.9,-0.0063,8143.0,26,74,93
15,0.004,0.002,20,120.0,-18.59,182,39.6,-0.0129,8141.0,10,36,136
15,0.004,0.002,30,60.0,-18.61,180,40.6,-0.0142,8139.0,14,53,113
10,0.004,0.003,45,60.0,-18.62,154,43.5,-0.0335,8138.0,17,39,98
15,0.002,0.0015,30,120.0,-18.62,169,39.6,-0.0218,8138.0,30,67,72
30,0.002,0.003,10,120.0,-18.63,189,43.9,-0.009,8137.0,16,10,163
20,0.003,0.0015,30,60.0,-18.7,180,39.4,-0.0148,8130.0,22,70,88
20,0.002,0.0015,20,120.0,-18.76,175,40.6,-0.0186,8124.0,23,56,96
20,0.006,0.0015,20,60.0,-18.76,198,38.9,-0.0048,8124.0,6,59,133
15,0.006,0.003,20,120.0,-18.77,179,39.1,-0.0159,8123.0,6,16,157
10,0.003,0.002,45,60.0,-18.83,168,41.1,-0.024,8117.0,26,65,77
10,0.002,0.003,45,120.0,-18.83,148,45.3,-0.0408,8117.0,39,31,78
20,0.004,0.002,30,60.0,-18.84,172,39.5,-0.0212,8116.0,13,54,105
20,0.002,0.002,45,60.0,-18.84,164,41.5,-0.0271,8116.0,43,62,59
15,0.002,0.003,30,120.0,-18.86,160,44.4,-0.0305,8114.0,31,25,104
10,0.002,0.002,45,120.0,-18.87,157,41.4,-0.033,8113.0,37,62,58
10,0.006,0.003,20,120.0,-18.87,193,39.4,-0.0082,8113.0,8,18,167
